CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
County
GeoFips,GeoName,LineCode,Description,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
36035,"Fulton, NY",1,Real GDP (thousands of chained 2017 dollars),1725907,1730702,1689483,1702221,1728502,1824789,1784308,1789951,1812043,1736876,1743914
36035,"Fulton, NY",3,Current-dollar GDP (thousands of current dollars),1379232,1420122,1424183,1460434,1521206,1610588,1588817,1625387,1674199,1635888,1687091
36037,"Genesee, NY",1,Real GDP (thousands of chained 2017 dollars),2260708,2261858,2275563,2302921,2321855,2355087,2352674,2304449,2346855,2387215,2434347
36037,"Genesee, NY",3,Current-dollar GDP (thousands of current dollars),1744312,1799133,1897393,1955162,1992279,2051948,2111165,2124086,2217595,2292044,2372728
36039,"Greene, NY",1,Real GDP (thousands of chained 2017 dollars),2197127,2498418,2184242,2347072,2358214,2571383,2332258,2575920,2331433,2249781,2343880
36039,"Greene, NY",3,Current-dollar GDP (thousands of current dollars),1712317,2029412,1810838,1968814,2082606,2255507,2072868,2311833,2143633,2133168,2269769
36041,"Hamilton, NY",1,Real GDP (thousands of chained 2017 dollars),216315,212739,217163,218648,236097,245215,262443,253583,250726,261080,250690
36041,"Hamilton, NY",3,Current-dollar GDP (thousands of current dollars),164313,167703,176394,181303,199536,207834,225041,222261,225026,240562,238971
36043,"Herkimer, NY",1,Real GDP (thousands of chained 2017 dollars),1776899,1692502,1677498,1673014,1719512,1787431,1789505,1801460,1861866,1886003,1815721
36043,"Herkimer, NY",3,Current-dollar GDP (thousands of current dollars),1367843,1338206,1369440,1395586,1484924,1545242,1571183,1621578,1717076,1771216,1750062
36045,"Jefferson, NY",1,Real GDP (thousands of chained 2017 dollars),5958947,6300463,6431099,6756297,6980314,7298119,7481518,7272451,7070837,6888211,6672802
36045,"Jefferson, NY",3,Current-dollar GDP (thousands of current dollars),4642624,5086405,5373459,5763766,6087622,6463939,6755913,6669093,6599887,6571523,6479556
36047,"Kings, NY",1,Real GDP (thousands of chained 2017 dollars),65572846,65657695,67518605,69612317,71191554,73920501,74146660,76808297,79133737,82176799,86286764
36047,"Kings, NY",3,Current-dollar GDP (thousands of current dollars),50509561,52354632,55335811,58138732,60719142,63652518,64690953,68504611,72108617,76563089,82582097
36049,"Lewis, NY",1,Real GDP (thousands of chained 2017 dollars),797929,866827,907053,890550,933054,981797,983781,945922,966678,1031311,1012128
36049,"Lewis, NY",3,Current-dollar GDP (thousands of current dollars),619327,692198,760904,761014,821561,871845,902389,882089,931105,1013071,993490
36051,"Livingston, NY",1,Real GDP (thousands of chained 2017 dollars),1902976,1899160,1988815,2037637,1947711,2089396,2107917,2076633,2129584,2113869,2048416
36051,"Livingston, NY",3,Current-dollar GDP (thousands of current dollars),1432145,1480421,1607115,1690012,1661305,1805325,1867708,1888356,1986239,2005640,1980235
36053,"Madison, NY",1,Real GDP (thousands of chained 2017 dollars),2183836,2116668,2183105,2258276,2230131,2351324,2342636,2320641,2306137,2350925,2334865
36053,"Madison, NY",3,Current-dollar GDP (thousands of current dollars),1699949,1711032,1823997,1924534,1928091,2055890,2089276,2114900,2143556,2228377,2253545
36055,"Monroe, NY",1,Real GDP (thousands of chained 2017 dollars),44931017,45394415,45781158,46114631,46343178,47219831,46187803,46324111,45589939,45404640,46201818
